"s_ds_municipio","s_ds_municipio_rdo","municipio","cod_ibge"
JERIQUARA,JERIQUARA,Jeriquara,3525409
JOAO RAMALHO,JOAO RAMALHO,Joao Ramalho,3525607
JOSE BONIFACIO,JOSE BONIFACIO,Jose Bonifacio,3525706
JUMIRIM,JUMIRIM,Jumirim,3525854
JUNDIAI,JUNDIAI,Jundiai,3525904
JUQUITIBA,JUQUITIBA,Juquitiba,3526209
LAGOINHA,LAGOINHA,Lagoinha,3526308
LAVINIA,LAVINIA,Lavinia,3526506
LAVRINHAS,LAVRINHAS,Lavrinhas,3526605
LENCOIS PAULISTA,LENCOIS PAULISTA,Lencois Paulista,3526803
LIMEIRA,LIMEIRA,Limeira,3526902
LINS,LINS,Lins,3527108
LUTECIA,LUTECIA,Lutecia,3527900
MAGDA,MAGDA,Magda,3528304
PIRANGI,PIRANGI,Pirangi,3539004
PIRAPOZINHO,PIRAPOZINHO,Pirapozinho,3539202
POMPEIA,POMPEIA,Pompeia,3540002
PRESIDENTE ALVES,PRESIDENTE ALVES,Presidente Alves,3541109
QUADRA,QUADRA,Quadra,3541653
QUINTANA,QUINTANA,Quintana,3542008
RIBEIRA,RIBEIRA,Ribeira,3542800
SANTA CRUZ DA ESPERANCA,S.CRUZ DA ESPERANCA,Santa Cruz da Esperanca,3546256
BURITAMA,BURITAMA,Buritama,3508108
LOURDES,LOURDES,Lourdes,3527256
LOUVEIRA,LOUVEIRA,Louveira,3527306
LUCELIA,LUCELIA,Lucelia,3527405
LUIS ANTONIO,LUIS ANTONIO,Luis Antonio,3527603
RIBEIRAO DO SUL,RIBEIRAO DO SUL,Ribeirao do Sul,3543204
RIFAINA,RIFAINA,Rifaina,3543600
RINCAO,RINCAO,Rincao,3543709
RUBINEIA,RUBINEIA,Rubineia,3544509
SALES,S.ANASTACIO,Sales,3544806
SALTINHO,S.ANTONIO DE POSSE,Saltinho,3545159
SANTA ADELIA,SANTA ADELIA,Santa Adelia,3545605
BOM SUCESSO DE ITARARE,BOM SUCESSO DE ITARARE,Bom Sucesso de Itarare,3507159
BRAGANCA PAULISTA,BRAGANCA PAULISTA,Braganca Paulista,3507605
CACHOEIRA PAULISTA,CACHOEIRA PAULISTA,Cachoeira Paulista,3508603
CAIEIRAS,CAIEIRAS,Caieiras,3509007
CAIUA,CAIUA,Caiua,3509106
CAJAMAR,CAJAMAR,Cajamar,3509205
CAJOBI,CAJOBI,Cajobi,3509304
CAMPINAS,CAMPINAS,Campinas,3509502
CAMPOS NOVOS PAULISTA,CAMPOS NOVOS PAUL.,Campos Novos Paulista,3509809
CANDIDO RODRIGUES,CANDIDO RODRIGUES,Candido Rodrigues,3510104
CAPAO BONITO,CAPAO BONITO,Capao Bonito,3510203
CAPELA DO ALTO,CAPELA DO ALTO,Capela do Alto,3510302
